POD/p,ap obs 1,ap obs 5,ap obs 9,ap obs 13,ap obs 17
6.058793969849246563e-01,3.355190493954663400e-01,3.294928134253843899e-01,3.251866511560432271e-01,3.221096004759907983e-01,3.199108350102713993e-01
6.108040201005024983e-01,3.365267581390866125e-01,3.302128909981522087e-01,3.257011963697132306e-01,3.224772786080745690e-01,3.201735664578119755e-01
6.157286432160804512e-01,3.375381157557163503e-01,3.309355759429772892e-01,3.262176047309982008e-01,3.228462880879518493e-01,3.204372492454037324e-01
6.206532663316582932e-01,3.385533174471094808e-01,3.316610077450096172e-01,3.267359759116821860e-01,3.232167001380038540e-01,3.207019342663624539e-01
6.255778894472362461e-01,3.395725632204050770e-01,3.323893293231789392e-01,3.272564120372222773e-01,3.235885877339308991e-01,3.209676736668717334e-01
6.305025125628140881e-01,3.405960582092045219e-01,3.331206872596269575e-01,3.277790178506937435e-01,3.239620257219024135e-01,3.212345209296946780e-01
6.354271356783920410e-01,3.416240130126915187e-01,3.338552320420317132e-01,3.283039008859476304e-01,3.243370909422901849e-01,3.215025309625899053e-01
6.403517587939698830e-01,3.426566440543663550e-01,3.345931183199483128e-01,3.288311716507839044e-01,3.247138623605580476e-01,3.217717601918411163e-01
6.452763819095477249e-01,3.436941739621093284e-01,3.353345051763901297e-01,3.293609438210150508e-01,3.250924212059338458e-01,3.220422666613480533e-01
6.502010050251256779e-01,3.447368319714431695e-01,3.360795564159881343e-01,3.298933344463756967e-01,3.254728511185460693e-01,3.223141101377656192e-01
6.551256281407035198e-01,3.457848543540428810e-01,3.368284408711905153e-01,3.304284641693235880e-01,3.258552383057723434e-01,3.225873522222256207e-01
6.600502512562814728e-01,3.468384848737364190e-01,3.375813327281067533e-01,3.309664574578776164e-01,3.262396717086180620e-01,3.228620564692261108e-01
6.649748743718593147e-01,3.478979752724568053e-01,3.383384118737541302e-01,3.315074428537494455e-01,3.266262431790240006e-01,3.231382885133296523e-01
6.698994974874372677e-01,3.489635857888553905e-01,3.390998642666424590e-01,3.320515532371519085e-01,3.270150476690899533e-01,3.234161162043766580e-01
6.748241206030151096e-01,3.500355857125542203e-01,3.398658823328261080e-01,3.325989261098057370e-01,3.274061834333024112e-01,3.236956097519913533e-01
6.797487437185929515e-01,3.511142539773284832e-01,3.406366653897736074e-01,3.331497038978235015e-01,3.277997522449666024e-01,3.239768418802372318e-01
