POD/p,ap95 obs 1,ap95 obs 5,ap95 obs 9,ap95 obs 13,ap95 obs 17
2.316080402010050332e-01,2.701229279216881274e-01,2.871379051263024396e-01,2.991373578537781519e-01,3.075286096747446019e-01,3.134047248066154645e-01
2.365326633165829306e-01,2.713427776534051428e-01,2.879886531359160395e-01,2.997304261287902505e-01,3.079447372690255480e-01,3.136992816585498223e-01
2.414572864321608281e-01,2.725505851857951689e-01,2.888313662276834060e-01,3.003181826860247261e-01,3.083573150377104666e-01,3.139914087385136665e-01
2.463819095477386978e-01,2.737469160628495657e-01,2.896664325792068229e-01,3.009008914316994021e-01,3.087665224385449103e-01,3.142812292712633404e-01
2.513065326633165952e-01,2.749323054148322121e-01,2.904942196582414038e-01,3.014788023156926289e-01,3.091725295222426118e-01,3.145688600797948986e-01
2.562311557788944927e-01,2.761072602851669111e-01,2.913150758077589497e-01,3.020521524017571457e-01,3.095754976556733817e-01,3.148544120781984201e-01
2.611557788944723901e-01,2.772722617430578018e-01,2.921293316850869237e-01,3.026211668392957965e-01,3.099755801786323040e-01,3.151379907193390673e-01
2.660804020100502876e-01,2.784277668054446764e-01,2.929373015712025685e-01,3.031860597475421470e-01,3.103729230015030982e-01,3.154196964023318617e-01
2.710050251256281850e-01,2.795742101889195363e-01,2.937392845642305961e-01,3.037470350216213699e-01,3.107676651502062626e-01,3.156996248441544251e-01
2.759296482412060270e-01,2.807120059096714360e-01,2.945355656694514934e-01,3.043042870687947543e-01,3.111599392640308492e-01,3.159778674192034176e-01
2.808542713567839244e-01,2.818415487473320824e-01,2.953264167966362930e-01,3.048580014821818951e-01,3.115498720512717146e-01,3.162545114701399984e-01
2.857788944723618219e-01,2.829632155866950716e-01,2.961120976742253608e-01,3.054083556583824244e-01,3.119375847070034458e-01,3.165296405929698409e-01
2.907035175879397193e-01,2.840773666496411165e-01,2.968928566887553133e-01,3.059555193646686377e-01,3.123231932968172919e-01,3.168033348989599540e-01
2.956281407035176167e-01,2.851843466281798189e-01,2.976689316569690047e-01,3.064996552607635039e-01,3.127068091099055591e-01,3.170756712556925261e-01
3.005527638190955142e-01,2.862844857282773603e-01,2.984405505371969802e-01,3.070409193796525549e-01,3.130885389844945133e-01,3.173467235093000438e-01
3.054773869346734116e-01,2.873781006330646814e-01,2.992079320858685998e-01,3.075794615713818292e-01,3.134684856082939342e-01,3.176165626896941263e-01
3.104020100502512536e-01,2.884654953930734789e-01,2.999712864643648280e-01,3.081154259133606077e-01,3.138467477963385877e-01,3.178852572004060573e-01
3.153266331658291510e-01,2.895469622503257789e-01,3.007308158008661358e-01,3.086489510903101530e-01,3.142234207483414754e-01,3.181528729944815836e-01
3.202512562814070485e-01,2.906227824023762119e-01,3.014867147113522994e-01,3.091801707466649840e-01,3.145985962874550679e-01,3.184194737377200046e-01
3.251758793969849459e-01,2.916932267117690603e-01,3.022391707834789498e-01,3.097092138139427853e-01,3.149723630821391618e-01,3.186851209604147916e-01
3.301005025125628434e-01,2.927585563658122725e-01,3.029883650266737560e-01,3.102362048153383678e-01,3.153448068526589765e-01,3.189498741986330210e-01
3.350251256281407408e-01,2.938190234910737497e-01,3.037344722914548378e-01,3.107612641495738348e-01,3.157160105635860026e-01,3.192137911259684824e-01
3.399497487437186383e-01,2.948748717265673447e-01,3.044776616606796882e-01,3.112845083558304915e-01,3.160860546035363372e-01,3.194769276766097899e-01
3.448743718592964802e-01,2.959263367592081528e-01,3.052180968151639862e-01,3.118060503614144552e-01,3.164550169532617807e-01,3.197393381604829443e-01
3.497989949748743777e-01,2.969736468247711203e-01,3.059559363758783124e-01,3.123259997136469401e-01,3.168229733431028872e-01,3.200010753711575728e-01
3.547236180904522751e-01,2.980170231772820144e-01,3.066913342247203356e-01,3.128444627973296366e-01,3.171899974007164058e-01,3.202621906871371826e-01
3.596482412060301725e-01,2.990566805294958552e-01,3.074244398056742433e-01,3.133615430390122025e-01,3.175561607899079486e-01,3.205227341671018637e-01
3.645728643216080700e-01,3.000928274668747120e-01,3.081553984080051545e-01,3.138773410991744228e-01,3.179215333413225597e-01,3.207827546396154750e-01
3.694974874371859674e-01,3.011256668372612189e-01,3.088843514329859263e-01,3.143919550533387786e-01,3.182861831756808035e-01,3.210422997877681039e-01
3.744221105527638649e-01,3.021553961182480430e-01,3.096114366455235967e-01,3.149054805630377984e-01,3.186501768201864260e-01,3.213014162291797371e-01
3.793467336683417068e-01,3.031822077640712876e-01,3.103367884119331843e-01,3.154180110374821822e-01,3.190135793186798518e-01,3.215601495917591590e-01
3.842713567839196043e-01,3.042062895336996586e-01,3.110605379250016567e-01,3.159296377867037431e-01,3.193764543360608776e-01,3.218185445855740734e-01
3.891959798994975017e-01,3.052278248016511708e-01,3.117828134173881161e-01,3.164404501668831027e-01,3.197388642574637285e-01,3.220766450711645690e-01
3.941206030150753992e-01,3.062469928529449326e-01,3.125037403643233236e-01,3.169505357185155581e-01,3.201008702826272367e-01,3.223344941246013007e-01
3.990452261306532966e-01,3.072639691634819759e-01,3.132234416764922424e-01,3.174599802980148655e-01,3.204625325158683147e-01,3.225921340995694941e-01
4.039698492462311941e-01,3.082789256670486755e-01,3.139420378839174464e-01,3.179688682033112168e-01,3.208239100520366427e-01,3.228496066867362346e-01
4.088944723618090915e-01,3.092920310100440440e-01,3.146596473115961246e-01,3.184772822939556658e-01,3.211850610587991817e-01,3.231069529706416810e-01
4.138190954773869334e-01,3.103034507949521958e-01,3.153763862475910673e-01,3.189853041062069017e-01,3.215460428555797501e-01,3.233642134843360272e-01
4.187437185929648309e-01,3.113133478135064469e-01,3.160923691042234474e-01,3.194930139635427380e-01,3.219069119894543141e-01,3.236214282619700455e-01
4.236683417085427283e-01,3.123218822704247888e-01,3.168077085729707476e-01,3.200004910830083205e-01,3.222677243082843201e-01,3.238786368895328893e-01
4.285929648241206258e-01,3.133292119985383595e-01,3.175225157736346060e-01,3.205078136777853581e-01,3.226285350313510270e-01,3.241358785539182885e-01
4.335175879396985232e-01,3.143354926660804627e-01,3.182369003983044897e-01,3.210150590563448092e-01,3.229893988177380271e-01,3.243931920904900568e-01
4.384422110552764207e-01,3.153408779768552272e-01,3.189509708506125807e-01,3.215223037185196420e-01,3.233503698326953280e-01,3.246506160293073373e-01
4.433668341708543181e-01,3.163455198639627541e-01,3.196648343807454995e-01,3.220296234488196352e-01,3.237115018122036503e-01,3.249081886401624097e-01
4.482914572864321601e-01,3.173495686777190183e-01,3.203785972166527940e-01,3.225370934072894769e-01,3.240728481259489424e-01,3.251659479765744987e-01
4.532160804020100575e-01,3.183531733683750420e-01,3.210923646918692476e-01,3.230447882181983199e-01,3.244344618389045642e-01,3.254239319188789170e-01
4.581407035175879550e-01,3.193564816642087689e-01,3.218062413703475788e-01,3.235527820568337987e-01,3.247963957717108774e-01,3.256821782165422174e-01
4.630653266331658524e-01,3.203596402455371472e-01,3.225203311686808960e-01,3.240611487346643504e-01,3.251587025600350400e-01,3.259407245298309719e-01
